codigo;nome
700;Medicamento administrado a paciente de idade inadequada
705;Linfoma difuso de grandes células B
710;Hiperprolactinemia
713;Carcinoma pancreático
715;Rinorreia
716;Inflamação da mucosa
717;Aspartato aminotransferase aumentada
724;Crises discognitivas focais
725;Estado de mal epiléptico
729;Contagem de leucócitos diminuída
731;Dermatite
732;Pele seca
733;Gastrite erosiva
735;Hiperlipidemia tipo IIa
736;Choro
737;Hipomagnesemia
740;Inchaço periférico
741;Distúrbio do sistema imunológico
742;Dor vulvovaginal
745;Infecção pelo vírus do herpes
746;Portal Hipertensão
747;Deficiência de vitamina C
753;Transtorno de personalidade obsessivo-compulsivo
754;Embolia
756;Contagem de plaquetas aumentada
758;Alveolite alérgica
759;Câncer de cólon
765;Vasodilatação
766;Gangrena
769;Adenocarcinoma de pulmão
771;Nível hormonal anormal
773;Delírio
774;Hipertonia
776;Eritema no local da incisão
778;Colecistite
779;Sinusite aguda
784;Evento não avaliado
786;Pênfigo paraneoplásico
787;Aspergilose broncopulmonar
789;Osteomielite
794;Infecção de ouvido
795;Distúrbio obstrutivo das vias aéreas
796;Deficiência de ferro
797;Hemorróidas
800;Desconforto torácico
803;Câncer de pulmão de pequenas células
805;Contratura muscular
807;Perturbação da atenção
809;Encefalite
811;Suicídio consumado
814;Distúrbio das costas
815;Hipertensão essencial
818;Infecção dentária
819;Desconforto no ouvido
820;Colite microscópica
821;Ceratite
824;Distúrbio do sistema nervoso
825;Proteína C reativa aumentada
829;Gravidez
830;Tuberculose latente
832;Infecção ocular
836;Profilaxia de arritmias
837;Cirurgia
838;Boca seca
839;Quimioterapia
842;Dor no pescoço
843;Doença renal cística congênita
845;Exposição fetal durante a gravidez
846;Neoplasia maligna
848;Dor tumoral
850;Infecção de pele
851;Abcesso
854;Inquietação
855;Irritabilidade
856;Enrugamento da pele
857;Frequência cardíaca aumentada
862;Tipo celular de carcinoma pulmonar não especificado recorrente
863;Hiperfosfatemia
865;Catarata
871;Hipersonia
873;Vitamina B12 diminuída
874;Hipertiroidismo
878;Pesadelo
881;Ferida
883;Ataque isquêmico transitório
884;Colangite esclerosante
887;Transtorno de personalidade esquizotípico
890;Esclerodermia
893;Meningite
895;Metástases para linfonodos
897;Potássio no sangue anormal
898;Doença do enxerto contra o hospedeiro no trato gastrointestinal
899;Fezes anormais
900;Procedimento de anestesia
902;Proctalgia
906;Enterocolite
907;Inflamação do trato respiratório superior
908;Infarto agudo do miocárdio
909;Hipercalemia
910;Hipotonia
915;Glaucoma de ângulo aberto
916;Convulsão febril
917;Retinopatia
919;Doença de Hodgkin
920;Adenocarcinoma de cólon
921;Epilepsia do pequeno mal
922;Metástases para o fígado
923;Faringite
926;Operação espinhal
928;Epilepsia do lobo temporal
929;Nasofaringite
931;Dor de dente
935;Ganglioglioma
938;Leiomioma uterino
940;Eczema
941;Carcinoma pancreático metastático
943;Distúrbio da paratireoide
948;Prurido generalizado
950;Hiperatividade psicomotora
951;Broncoespasmo
952;Catatonia
953;Distúrbio muscular
957;Infeção viral
960;Distúrbio do trato urinário
961;Infecção por Rhodococcus
966;Picada de artrópodes
967;Hipersecreção dos seios paranasais
969;Metástase
971;Dor orofaríngea
972;Entrega
980;Nefropatia por IgA
981;Bloqueio de ramo direito do feixe
987;Osteonecrose
988;Esplenomegalia
989;Hepatite viral
990;Transplante de pulmão
996;Incontinência
997;Anestesia geral
1001;Transtorno mal definido
1002;Autolesão intencional
1004;Hormônio estimulante da tireoide no sangue aumentado
1005;Psicose aguda
1006;Má absorção
1007;Estado confusional
1009;Neutropenia febril
1010;Onicomicose
1013;Flutuação da pressão arterial
1014;Leucemia aguda tipo precursor B
1015;Infecção por Klebsiella
1017;Osteossarcoma
1018;Doença do enxerto contra o hospedeiro na pele
1019;Glicemia diminuída
1020;Proteinuria
1025;Síndrome gripal
1028;Transtorno de leitura
1029;Infecção do trato respiratório superior
1033;Hiperparatireoidismo
1037;Distúrbio do ouvido
1038;Pancreatite
1039;Dermatite acneiforme
1042;Parestesia
1043;Aumento do apetite
1047;Hemorragia subaracnóidea
1049;Menorragia
1050;Púrpura
1051;Hematêmese
1053;Infecção por Clostridium difficile
1056;Micose sistêmica
1058;Insônia inicial
1059;Hematúria
1062;Pensamento anormal
1064;Reação adversa a medicamentos
1065;Bolha
1069;Aumento do ácido úrico no sangue
1082;Linfoma difuso de grandes células B estádio IV
1085;Dispneia aos esforços
1090;Lábio seco
1093;Colelitíase
1094;Nódulo
1095;Desequilíbrio eletrolítico
1097;Medo
1101;Cefaleia tensional
1102;Síndrome cervicobraquial
1105;Câncer de pulmão de células não pequenas estádio IV
1106;Abscesso anal
1107;Alanina aminotransferase aumentada
1110;Falência renal
1112;Síndrome de imunodeficiência adquirida
1113;Dor do tipo breakthrough
1120;Distúrbio sanguíneo
1121;Hipotensão
1127;Sódio no sangue diminuído
1128;Gengivite
1131;Prurido ocular
1137;Infecção por Aspergillus
1142;Contagem de neutrófilos diminuída
1145;Hipoalbuminemia
1146;Choque sético
1147;Hiponatremia
1148;Mobilidade diminuída
1149;Rigidez articular
1153;Cuidados de suporte
1160;Crescimento do cabelo anormal
1161;Sintoma depressivo
1162;Teste de pressão intraocular anormal
1164;Frieza periférica
1166;Conjuntivite
1169;Melanoma maligno estádio IV
1170;Exposição durante a gravidez
1171;Supercrescimento bacteriano gastrointestinal
1172;Radiculopatia lombar
1175;Câncer de bexiga
1177;Terapia antialérgica
1179;Úlcera duodenal
1180;Lesão renal aguda
1181;Lipídios aumentados
1184;Rabdomiossarcoma
1185;Má circulação periférica
1187;Calcinose
1188;Carcinoma ductal invasivo da mama
1189;Cistite intersticial
1192;Parosmia
1194;Valvopatia cardíaca
1196;Perda de consciência
1197;Hiperlipidemia tipo V
1198;Sarcoma de Ewing
1199;Infecção da ferida
1201;Neuroblastoma
1203;Granulomatose com poliangeíte
1204;Doença renal crônica
1208;Aumento do lacrimejamento
1210;Adenocarcinoma pâncreas
1212;Desidratação
1216;Dor torácica musculoesquelética
1219;Edema faríngeo
1220;Hipertrofia ventricular esquerda
1224;Câncer de pulmão de células não pequenas metastático
1225;Mutação BRAF V600E positiva
1228;Sarcoma de Kaposi
1229;Tuberculose
1237;Dor sinusal
1238;Infecção estafilocócica
1241;Hemorragia traumática
1242;Toxicodependência
1243;Polineuropatia
1244;Doença de Lyme
1248;Zumbido
1252;Evento adverso
1257;Câncer hepático
1260;Dor bucal
1264;Síndrome do túnel cubital
1265;Densidade óssea anormal
1266;Adenocarcinoma
1269;Doença aguda do enxerto contra o hospedeiro na pele
1271;Endometriose
1272;Doença linfoproliferativa pós-transplante
1273;Peritonite
1280;Hemodiálise
1281;Ascite
1282;Edema peniano
1283;Edema escrotal
1285;Eletroencefalograma anormal
1289;Fratura por compressão da coluna vertebral
1290;Erro de medicação
1291;Câncer de mama estádio IV
1296;Câncer de mama triplo negativo
1298;Infecção localizada
1300;Reação a drogas com eosinofilia e sintomas sistêmicos
1307;Infecção renal
1309;Hipercalcemia
1310;Síndrome de lise tumoral
1311;Bolhoso
1314;Ideação suicida
1317;Disgeusia
1319;Cetoacidose diabética
1323;Câncer ósseo
1325;Úlcera esofágica
1329;Desnutrição
1330;Miocardite
1335;Progressão da doença
1338;Osteonecrose da mandíbula
1340;Dor oncológica
1341;Inchaço das articulações
1350;Leucoencefalopatia multifocal progressiva
1354;Lesão do disco intervertebral
1360;Disfunção do nó sinusal
1366;Erupção cutânea pustulosa
1367;Distúrbio musculoesquelético
1376;Delírio persecutório
1377;Mutismo
1380;Eritema
1381;Contagem de plaquetas diminuída
1385;Erupção macular
1392;Quimioterapia profilática
1396;Hipófisite
1397;Hidrocefalia
1401;Humor deprimido
1402;Obesidade
1403;Disstasia
1406;Lesão articular
1409;Hemograma anormal
1411;Acatisia
1412;Fratura da coluna vertebral
1413;Síndrome da taquicardia postural ortostática
1414;Polaciúria
1415;Hidradenite
1419;Doença aguda do enxerto contra o hospedeiro
1421;Angina instável
1422;Desconforto musculoesquelético
1424;Rinite
1425;Reação relacionada à infusão
1426;Ferritina sérica aumentada
1427;Leucemia
1428;Urgência miccional
1429;Palpitações
1430;Exacerbação pulmonar infecciosa da fibrose cística
1431;Condição agravada
1432;Neuropatia sensorial periférica
1433;Deficiência de vitaminas do complexo B
1435;Operação de catarata
1444;Linfoma de Burkitt
1448;Deformidade da coluna vertebral
1451;Infecção gastrointestinal
1452;Dor gastrointestinal
1454;Pneumonite
1455;Afetar a labilidade
1459;Dor hepática
1465;Fratura osteoporótica
1471;Fratura do colo do fêmur
1473;Fratura patológica
1475;Diminuição da estatura corporal
1476;Fratura
1479;Hipertensão ocular
1480;Insuficiência respiratória aguda
1481;Eosinofilia
1485;Fratura vertebral lombar
1487;Bacteremia
1490;Pustulose exantemática generalizada aguda
1491;Aumento do cálcio no sangue
1492;Desconforto
1500;Sobrepeso
1501;Contrações uterinas durante a gravidez
1503;Hiperparatireoidismo secundário
1504;Neuralgia facial
1505;Derrame pleural
1510;Enxaqueca com aura
1516;Lesão cutânea
1517;Cromossomo Filadélfia positivo
1519;Irregularidade do movimento intestinal
1521;Respiração anormal
1529;Abuso de álcool
1530;Distúrbio arterial
1531;Hemoglobina glicosilada aumentada
1533;Visão turva
1535;Hipertermia
1538;Bradicardia
1540;Câncer de pênis
1541;Infecção por Pneumocystis jirovecii
1542;Cirrose biliar primária
1546;Problema de uso do produto
1553;Miose
1554;Bradicardia sinusal
1561;Dor no flanco
1562;Pneumonia em organização
1570;Taquiarritmia
1572;Abuso
1575;Sangue presente
1576;Cirurgia de fusão vertebral
1577;Agranulocitose
1579;Marcha parkinsoniana
1580;Cair
1581;Pressão intraocular diminuída
1582;Albumina sanguínea diminuída
1587;Isquemia periférica
1588;Hipóxia
1590;Convulsão tônica
1596;Epicondilite
1598;Distúrbio gastrointestinal funcional
1601;Trabalho ameaçado
1603;Acidente
1604;Leucemia aguda tipo células T
1609;Osteoartrite espinhal
1611;Anestesia local
1614;Peso aumentado
1626;Quadriplegia
1629;Carcinoma de células renais de células claras
1632;Dilatação biliar
1634;Edema pulmonar
1635;Contagem de linfócitos diminuída
1636;Amigdalite
1638;Infecção por Pseudomonas
1644;Disfonia
1646;Taquicardia supraventricular
1647;Hipofosfatemia
1648;Epistaxe
1650;Intolerância à lactose
1651;Taquicardia sinusal
1654;Úlcera de decúbito
1655;Retenção urinária
1656;Erupção cutânea máculo-papular
1658;Sepse bacteriana
1659;Demência
1663;Metástases para pelve
1667;Nefrolitíase
1669;Otite média
1671;Hepatotoxicidade
1672;Mordida de artrópodes
1673;Sonhos anormais
1674;Sonambulismo
1676;Fezes macias
1678;Espondiloartrite axial
1683;Histoplasmose pulmonar aguda
1684;Distúrbio cerebral
1685;Falência ventricular direita
1689;Arteriosclerose arterial coronária
1693;pH gástrico diminuído
1699;Pneumonite
1704;Afetar a labilidade
1708;Dor hepática
1711;Fratura osteoporótica
1712;Fratura do colo do fêmur
1714;Fratura patológica
1715;Diminuição da estatura corporal
1717;Fratura
1720;Hipertensão ocular
1721;Insuficiência respiratória aguda
1722;Eosinofilia
1725;Fratura vertebral lombar
1729;Bacteremia
1740;Pustulose exantemática generalizada aguda
1741;Aumento do cálcio no sangue
1743;Desconforto
1744;Sobrepeso
1752;Contrações uterinas durante a gravidez
1757;Hiperparatireoidismo secundário
1758;Neuralgia facial
1759;Derrame pleural
1765;Enxaqueca com aura
1768;Lesão cutânea
1771;Cromossomo Filadélfia positivo
1773;Irregularidade do movimento intestinal
1779;Respiração anormal
1780;Abuso de álcool
1786;Distúrbio arterial
1787;Hemoglobina glicosilada aumentada
1791;Visão turva
1794;Hipertermia
1797;Bradicardia
1800;Câncer de pênis
1803;Infecção por Pneumocystis jirovecii
1804;Cirrose biliar primária
1805;Problema de uso do produto
1812;Miose
1816;Bradicardia sinusal
1821;Dor no flanco
1822;Pneumonia em organização
1823;Taquiarritmia
1825;Abuso de substância
1837;Sangue presente
1838;Cirurgia de fusão vertebral
1841;Agranulocitose
1844;Marcha parkinsoniana
1845;Queda
1846;Pressão intraocular diminuída
1848;Albumina sanguínea diminuída
1849;Isquemia periférica
1851;Hipóxia
1852;Convulsão tônica
1853;Epicondilite
1854;Distúrbio gastrointestinal funcional
1856;Trabalho ameaçado
1862;Exposição acidental ao produto por criança
1863;Linfoma angiocêntrico
1877;Perturbação na excitação sexual
1881;Hiperamonemia
1885;Insuficiência cardiovascular
1886;Nível de drogas diminuído
1888;Bebê prematuro
1890;Infecção pelo complexo Mycobacterium avium
1893;Acarodermatite
1897;Instabilidade hemodinâmica
1914;Logorreia
1916;Massa mamária
1918;Fratura de quadril
1920;Hipersecreção salivar
1922;Dor abdominal mais baixa
1925;Fração de ejeção diminuída
1928;Flutter cardíaco
1931;Alterações do estado mental
1936;Esfoliação da pele
1941;Distonia
1942;Coriorretinite por citomegalovírus
1943;Colite por citomegalovírus
1949;Hipersensibilidade a drogas
1950;Seminoma
1953;Metástases para o sistema nervoso central
1957;Síndrome da encefalopatia posterior reversível
1960;Edema laríngeo
1961;Infecção pelo vírus Epstein-Barr
1962;Metástases para meninges
1963;Sensação de anormalidade
1965;Microangiopatia trombótica
1966;Dor na mama
1970;Overdose intencional
1974;Ternura
1975;Erisipela
1976;Encefalopatia hepática
1977;Complicação pós-procedimento
1978;Abscesso dentário
1981;Dermatite psoriasiforme
1983;Endocardite
1984;Abscesso extradural
1986;Discite intervertebral
1989;Adenocarcinoma de endométrio
1995;Síndrome da serotonina
1999;Hipotermia
2010;Descarga de secreção
2013;Dor na virilha
2016;Fístula anal
2017;Escherichia infecção do trato urinário
2018;Contagem de leucócitos aumentada
2019;Traumatismo craniano
2021;Congestão auricular
2029;Herpes simples
2039;Rigidez muscular
2042;Pancreatite aguda
2047;Transtorno de ajustamento com humor deprimido
2053;Granulomatose eosinofílica com poliangi
2056;Compressão da medula espinhal
2058;Vasculite positiva para anticorpo anticitoplasma de neutrófilos
2060;Acidente vascular cerebral embólico
2061;Toxicidade gastrointestinal
2063;Enxerto vascular
2066;Escarro descolorido
2068;Dor ocular
2069;Vitiligo
2072;Amnésia
2076;Lesão cutânea por radiação
2077;Polimialgia reumática
2078;Odinofagia
2079;Doença esofágica
2080;Neoplasia da próstata
2092;Cardiopatia hipertensiva
2096;Distúrbio metabólico
2099;Lípidos
2100;Infecção parasitária
2101;Fratura de costela
2102;Flushing
2111;Resistência a patógenos
2115;Status migrainoso
2116;Diminuição do folato no sangue
2119;Edema devido a doença renal
2121;Dor gengival
2125;Abscesso abdominal
2128;Distrofia muscular de Duchenne
2131;Hemorragia do cisto renal
2133;Distúrbio dentário
2138;Linfocitose
2139;Lesão hepática
2141;Angioedema
2142;Pneumonia bacteriana
2148;Paniculite
2154;Neoplasias da mama
2157;Coordenação anormal
2159;Trombocitose
2162;Dor púbica
2163;Neoplasias pulmonares
2164;Hemorragia alveolar pulmonar
2168;Síndrome da eritrodisestesia palmoplantar
2169;Trombose pulmonar
2171;Trombose arterial
2172;Eritema nodoso
2174;Colestase
2175;Anafilaxia
2177;Fratura da tíbia
2179;Ataxia
2180;Uso indevido intencional do produto
2182;Mieloma de células plasmáticas recorrente
2184;Sensação de queimação na pele
2191;Tricorrexe
2195;Lesão do membro
2198;Dor no mamilo
2200;Pré-eclâmpsia
2201;Lesão
2202;Citopenia
2203;Neoplasias ósseas
2205;Tuberculose disseminada
2206;Histoplasmose disseminada
2214;Linfadenopatia
2216;Mioclonia
2219;Colite isquêmica
2224;Hemorragia gástrica
2232;Cistite lúpica
2238;Coriorretinopatia
2248;Nocardiose
2253;Carcinoma de células escamosas de pulmão estádio IV
2257;Erupção cutânea pruriginosa
2259;Neuropatia do nervo ciático
2264;Tendinite
2265;Lipoma
2267;Pneumonia eosinofílica
2272;Dilatação e curetagem uterina
2273;Carcinoma metaplásico da mama
2274;Doença celíaca
2278;Infecção da ferida operatória
2290;Negativismo
2291;Ganho de peso anormal
2297;Mutação genética
2298;Alucinação visual
2307;Retardo psicomotor
2310;Alucinações mistas
2313;Diminuição da tolerância à frustração
2320;Síndrome neuroléptica maligna
2329;Amputação de dedos
2334;Síndrome de abstinência
2337;Fratura dos ossos da face
2339;Sofrimento emocional
2340;Controle inadequado do diabetes mellitus
2346;Cisto ovariano
2348;Anemia hemolítica microangiopática
2368;Abscesso tubo-ovariano
2381;Insuficiência hepática
2384;Infecção estreptocócica
2386;Diplegia
2394;Síndrome pós-concussão
2403;Dermatite alérgica
2404;Candidíase vulvovaginal
2405;Reação cutânea
2415;Infecção febril
2417;Aspergilose cerebral
2418;Lipossarcoma mixoide
2425;Fibrose
2426;Lesão hepatocelular
2428;Deformidade do pé
2432;Nódulo reumatoide
2441;Acidente de trânsito
2445;Insuficiência cardíaca aguda
2449;Amônia aumentada
2460;Temperatura corporal anormal
2461;Estenose de artéria coronária
2462;Carcinoma lobular invasivo da mama
